Group,Organism,Kingdom,Phylum,Class,Order,Family,Genus,Species,Score,Hit,Accession_Number_1,Accession_Number_2,Accession_Number_3,C1,C2,C3,F1,F2,F3,D1,D2,D3,0036.1,0036.2,0036.3,1887.1,1887.2,1887.3,G1,G2,G3,R1,R2,R3,S1,S2,S3
denovo0,Bacteria; __Cyanobacteria; __; __Nostocales; __Calotrichaceae; __Dulcicalothrix; __Dulcicalothrix necridiiformans,Bacteria,__Cyanobacteria,__,__Nostocales,__Calotrichaceae,__Dulcicalothrix,__Dulcicalothrix necridiiformans,1,1,NR_164867.1,NA,NA,7,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8068,10511,10467
denovo24,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Cytophagaceae; __Ohtaekwangia; __Ohtaekwangia koreensis,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__Cytophagaceae,__Ohtaekwangia,__Ohtaekwangia koreensis,1,1,NR_117435.1,NA,NA,92,149,170,177,222,74,150,149,145,187,142,137,97,85,106,0,0,0,0,0,0,0,0,0
denovo25,Bacteria; __Chloroflexi; __Caldilineae; __Caldilineales; __Caldilineaceae; __Litorilinea; __Litorilinea aerophila,Bacteria,__Chloroflexi,__Caldilineae,__Caldilineales,__Caldilineaceae,__Litorilinea,__Litorilinea aerophila,1,1,NR_132330.1,NA,NA,27,90,82,99,80,83,73,63,63,55,38,34,20,40,14,0,0,0,0,0,0,0,0,0
denovo26,Bacteria; __Proteobacteria; __Gammaproteobacteria; __; __; __Acidibacter; __Acidibacter ferrireducens,Bacteria,__Proteobacteria,__Gammaproteobacteria,__,__,__Acidibacter,__Acidibacter ferrireducens,1,1,NR_126260.1,NA,NA,88,122,58,88,118,45,102,91,67,83,60,96,160,169,149,0,0,0,0,0,0,0,0,0
denovo27,Bacteria; __Verrucomicrobia; __Opitutae; __Opitutales; __Opitutaceae; __Lacunisphaera; __Lacunisphaera limnophila,Bacteria,__Verrucomicrobia,__Opitutae,__Opitutales,__Opitutaceae,__Lacunisphaera,__Lacunisphaera limnophila,1,1,NR_146349.1,NA,NA,154,119,148,127,156,123,162,126,135,153,119,233,216,200,180,0,0,0,0,0,0,0,0,0
denovo28,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Cytophagaceae; __Marinoscillum; __Marinoscillum furvescens,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__Cytophagaceae,__Marinoscillum,__Marinoscillum furvescens,1,1,NR_113833.1,NA,NA,98,67,124,106,76,69,68,89,108,88,94,121,109,46,50,0,0,0,0,0,0,0,0,0
denovo29,Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Cryomorphaceae; __Vicingus; __Vicingus serpentipes,Bacteria,__Bacteroidetes,__Flavobacteriia,__Flavobacteriales,__Cryomorphaceae,__Vicingus,__Vicingus serpentipes,1,1,NR_159281.1,NA,NA,87,62,49,106,127,143,106,106,70,174,121,65,19,92,42,0,0,0,0,0,0,0,0,0
denovo30,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,201,102,111,134,111,162,87,135,202,98,82,67,69,31,49,0,0,0,0,0,0,0,0,0
denovo31,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,21,76,46,44,55,52,66,36,54,49,40,51,41,42,26,0,0,0,0,0,0,0,0,0
denovo32,Bacteria; __Proteobacteria; __Deltaproteobacteria; __Desulfuromonadales; __Geobacteraceae; __Geoalkalibacter; __Geoalkalibacter ferrihydriticus,Bacteria,__Proteobacteria,__Deltaproteobacteria,__Desulfuromonadales,__Geobacteraceae,__Geoalkalibacter,__Geoalkalibacter ferrihydriticus,1,1,NR_043709.1,NA,NA,171,80,95,68,73,65,76,70,68,63,60,83,39,42,35,0,0,0,0,0,0,0,0,0
denovo33,Bacteria; __Chloroflexi; __Anaerolineae; __Anaerolineales; __Anaerolineaceae; __Thermomarinilinea; __Thermomarinilinea lacunifontana,Bacteria,__Chloroflexi,__Anaerolineae,__Anaerolineales,__Anaerolineaceae,__Thermomarinilinea,__Thermomarinilinea lacunifontana,1,1,NR_132293.1,NA,NA,29,41,56,37,31,36,53,35,40,60,74,161,54,39,44,0,0,0,0,0,0,0,0,0
denovo34,Bacteria; __Chloroflexi; __Anaerolineae; __Anaerolineales; __Anaerolineaceae; __Thermanaerothrix; __Thermanaerothrix daxensis,Bacteria,__Chloroflexi,__Anaerolineae,__Anaerolineales,__Anaerolineaceae,__Thermanaerothrix,__Thermanaerothrix daxensis,1,1,NR_117865.1,NA,NA,20,64,84,39,47,51,62,42,34,44,35,23,23,24,18,0,0,0,0,0,0,0,0,0
denovo35,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,69,27,59,49,42,59,56,50,63,63,67,68,60,46,36,0,0,0,0,0,0,0,0,0
denovo36,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,30,24,41,23,31,54,47,34,40,37,35,39,27,28,18,0,0,0,0,0,0,0,0,0
denovo37,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,303,170,83,120,91,34,147,77,156,63,49,126,160,138,106,0,0,0,0,0,0,0,0,0
denovo38,Bacteria; __Proteobacteria; __Gammaproteobacteria; __Nevskiales; __Steroidobacteraceae; __Povalibacter; __Povalibacter uvarum,Bacteria,__Proteobacteria,__Gammaproteobacteria,__Nevskiales,__Steroidobacteraceae,__Povalibacter,__Povalibacter uvarum,1,1,NR_126172.1,NA,NA,61,61,111,131,89,72,90,115,101,129,92,118,63,87,72,0,0,0,0,0,0,0,0,0
denovo39,Bacteria; __Chloroflexi; __Anaerolineae; __Anaerolineales; __Anaerolineaceae; __Thermomarinilinea; __Thermomarinilinea lacunifontana,Bacteria,__Chloroflexi,__Anaerolineae,__Anaerolineales,__Anaerolineaceae,__Thermomarinilinea,__Thermomarinilinea lacunifontana,1,1,NR_132293.1,NA,NA,114,93,86,46,88,114,125,66,82,66,84,106,128,110,98,0,0,0,0,0,0,0,0,0
denovo40,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __; __Chryseolinea; __Chryseolinea soli,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__,__Chryseolinea,__Chryseolinea soli,1,1,NR_165708.1,NA,NA,43,42,63,77,115,63,68,63,36,69,61,58,53,65,29,0,0,0,0,0,0,0,0,0
denovo41,Bacteria; __Armatimonadetes; __Fimbriimonadia; __Fimbriimonadales; __Fimbriimonadaceae; __Fimbriimonas; __Fimbriimonas ginsengisoli,Bacteria,__Armatimonadetes,__Fimbriimonadia,__Fimbriimonadales,__Fimbriimonadaceae,__Fimbriimonas,__Fimbriimonas ginsengisoli,1,1,NR_121726.1,NA,NA,38,34,49,39,41,31,57,61,41,42,43,45,20,40,37,0,0,0,0,0,0,0,0,0
denovo42,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,56,85,111,129,119,112,169,132,94,76,90,71,77,76,52,0,0,0,0,0,0,0,0,0
denovo43,Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Lentimicrobiaceae; __Lentimicrobium; __Lentimicrobium saccharophilum,Bacteria,__Bacteroidetes,__Bacteroidia,__Bacteroidales,__Lentimicrobiaceae,__Lentimicrobium,__Lentimicrobium saccharophilum,1,1,NR_149795.1,NA,NA,121,77,39,91,86,59,69,54,62,129,110,84,76,73,39,0,0,0,0,0,0,0,0,0
denovo44,Bacteria; __Acidobacteria; __Acidobacteriia; __Bryobacterales; __Bryobacteraceae; __Paludibaculum; __Paludibaculum fermentans,Bacteria,__Acidobacteria,__Acidobacteriia,__Bryobacterales,__Bryobacteraceae,__Paludibaculum,__Paludibaculum fermentans,1,1,NR_134120.1,NA,NA,40,35,50,65,45,86,65,80,48,50,50,43,32,24,32,0,0,0,0,0,0,0,0,0
denovo45,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Cytophagaceae; __Ohtaekwangia; __Ohtaekwangia kribbensis,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__Cytophagaceae,__Ohtaekwangia,__Ohtaekwangia kribbensis,1,1,NR_117436.1,NA,NA,52,44,39,54,53,22,59,34,37,28,53,65,74,76,45,0,0,0,0,0,0,0,0,0
denovo46,Bacteria; __Bacteroidetes; __Saprospiria; __Saprospirales; __Lewinellaceae; __Lewinella; __Lewinella lacunae,Bacteria,__Bacteroidetes,__Saprospiria,__Saprospirales,__Lewinellaceae,__Lewinella,__Lewinella lacunae,1,1,NR_158054.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1883,0,0
denovo47,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,31,90,84,54,37,45,57,40,41,61,38,71,51,60,31,0,0,0,0,0,0,0,0,0
denovo48,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __; __Bauldia; __Bauldia consociata,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhizobiales,__,__Bauldia,__Bauldia consociata,1,1,NR_044600.1,NA,NA,70,81,81,77,108,88,117,106,73,92,81,82,95,117,68,0,0,0,0,0,0,0,0,0
denovo49,Bacteria; __Chloroflexi; __Anaerolineae; __Anaerolineales; __Anaerolineaceae; __Longilinea; __Longilinea arvoryzae,Bacteria,__Chloroflexi,__Anaerolineae,__Anaerolineales,__Anaerolineaceae,__Longilinea,__Longilinea arvoryzae,1,1,NR_041355.1,NA,NA,90,62,39,28,82,61,64,41,53,44,57,66,94,66,81,0,0,0,0,0,0,0,0,0
denovo50,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,313,534,0,0,0
denovo51,Bacteria; __Ignavibacteriae; __Ignavibacteria; __Ignavibacteriales; __Ignavibacteriaceae; __Ignavibacterium; __Ignavibacterium album,Bacteria,__Ignavibacteriae,__Ignavibacteria,__Ignavibacteriales,__Ignavibacteriaceae,__Ignavibacterium,__Ignavibacterium album,1,1,NR_074698.1,NA,NA,41,37,76,48,71,62,60,48,55,74,71,56,31,32,28,0,0,0,0,0,0,0,0,0
denovo52,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,57,52,52,65,51,40,117,48,58,72,72,92,38,48,56,0,0,0,0,0,0,0,0,0
denovo53,Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Bacillaceae; __Bacillus; __Bacillus thaonhiensis,Bacteria,__Firmicutes,__Bacilli,__Bacillales,__Bacillaceae,__Bacillus,__Bacillus thaonhiensis,1,1,NR_125615.1,NA,NA,13,16,12,38,23,22,5,13,10,5,22,9,7,6,7,452,396,225,0,0,0,0,0,0
denovo54,Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Simplicispira; __Simplicispira metamorpha,Bacteria,__Proteobacteria,__Betaproteobacteria,__Burkholderiales,__Comamonadaceae,__Simplicispira,__Simplicispira metamorpha,1,1,NR_113643.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,29,404,208,253
denovo55,Bacteria; __Firmicutes; __Bacilli; __Bacillales; __Bacillaceae; __Bacillus; __Bacillus zanthoxyli,Bacteria,__Firmicutes,__Bacilli,__Bacillales,__Bacillaceae,__Bacillus,__Bacillus zanthoxyli,1,1,NR_164882.1,NA,NA,0,2,0,6,1,5,2,30,0,1,0,1,0,2,0,0,1,1,0,0,0,504,112,448
denovo56,Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobia subdivision 3; __Limisphaera; __Limisphaera ngatamarikiensis,Bacteria,__Verrucomicrobia,__Verrucomicrobiae,__Verrucomicrobiales,__Verrucomicrobia subdivision 3,__Limisphaera,__Limisphaera ngatamarikiensis,1,1,NR_134756.1,NA,NA,86,89,67,98,72,76,73,80,92,120,96,143,161,113,105,0,0,0,0,0,0,0,0,0
denovo57,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,74,58,42,56,66,49,72,39,40,87,42,64,49,46,38,0,0,0,0,0,0,0,0,0
denovo58,Bacteria; __Bacteroidetes; __Chitinophagia; __Chitinophagales; __Chitinophagaceae; __Terrimonas; __Terrimonas terrae,Bacteria,__Bacteroidetes,__Chitinophagia,__Chitinophagales,__Chitinophagaceae,__Terrimonas,__Terrimonas terrae,1,1,NR_157715.1,NA,NA,70,73,69,75,72,59,78,58,67,67,67,69,85,54,52,0,0,0,0,0,0,0,0,0
denovo59,Bacteria; __Proteobacteria; __Deltaproteobacteria; __Myxococcales; __Kofleriaceae; __Haliangium; __Haliangium tepidum,Bacteria,__Proteobacteria,__Deltaproteobacteria,__Myxococcales,__Kofleriaceae,__Haliangium,__Haliangium tepidum,1,1,NR_024781.1,NA,NA,113,101,47,66,120,60,123,57,89,91,74,121,135,120,102,0,0,0,0,0,0,0,0,0
denovo60,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __Cytophagaceae; __Ohtaekwangia; __Ohtaekwangia koreensis,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__Cytophagaceae,__Ohtaekwangia,__Ohtaekwangia koreensis,1,1,NR_117435.1,NA,NA,89,47,95,90,145,60,118,122,125,149,110,156,109,91,70,0,0,0,0,0,0,0,0,0
denovo61,Bacteria; __Chloroflexi; __Anaerolineae; __Anaerolineales; __Anaerolineaceae; __Thermomarinilinea; __Thermomarinilinea lacunifontana,Bacteria,__Chloroflexi,__Anaerolineae,__Anaerolineales,__Anaerolineaceae,__Thermomarinilinea,__Thermomarinilinea lacunifontana,1,1,NR_132293.1,NA,NA,30,43,40,27,33,29,46,27,28,43,45,65,51,58,49,0,0,0,0,0,0,0,0,0
denovo62,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __; __Chryseolinea; __Chryseolinea soli,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__,__Chryseolinea,__Chryseolinea soli,1,1,NR_165708.1,NA,NA,53,47,87,96,71,53,54,47,56,97,84,60,48,25,36,0,0,0,0,0,0,0,0,0
denovo63,Bacteria; __Bacteroidetes; __Cytophagia; __Cytophagales; __; __Chryseolinea; __Chryseolinea soli,Bacteria,__Bacteroidetes,__Cytophagia,__Cytophagales,__,__Chryseolinea,__Chryseolinea soli,1,1,NR_165708.1,NA,NA,64,42,4,29,33,16,29,19,21,40,21,79,94,92,79,0,0,0,0,0,0,0,0,0
denovo64,Bacteria; __Cyanobacteria; __; __Nostocales; __Calotrichaceae; __Calothrix; __Calothrix desertica,Bacteria,__Cyanobacteria,__,__Nostocales,__Calotrichaceae,__Calothrix,__Calothrix desertica,1,1,NR_114995.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,56,418
denovo65,; __; __; __; __; __; __,,__,__,__,__,__,__,1,1,NA,NA,NA,61,69,30,64,67,54,31,46,49,52,38,67,107,76,90,0,0,0,0,0,0,0,0,0
denovo66,Bacteria; __Chloroflexi; __Caldilineae; __Caldilineales; __Caldilineaceae; __Caldilinea; __Caldilinea aerophila,Bacteria,__Chloroflexi,__Caldilineae,__Caldilineales,__Caldilineaceae,__Caldilinea,__Caldilinea aerophila,1,1,NR_074397.1,NA,NA,66,78,89,79,52,47,84,58,79,66,47,54,97,69,69,0,0,0,0,0,0,0,0,0
denovo67,Bacteria; __Verrucomicrobia; __Opitutae; __Opitutales; __Opitutaceae; __Ereboglobus; __Ereboglobus luteus,Bacteria,__Verrucomicrobia,__Opitutae,__Opitutales,__Opitutaceae,__Ereboglobus,__Ereboglobus luteus,1,1,NR_157674.1,NA,NA,36,43,14,39,25,32,72,16,15,52,33,88,77,118,116,0,0,0,0,0,0,0,0,0
denovo68,Bacteria; __Bacteroidetes; __Chitinophagia; __Chitinophagales; __Chitinophagaceae; __Flavitalea; __Flavitalea gansuensis,Bacteria,__Bacteroidetes,__Chitinophagia,__Chitinophagales,__Chitinophagaceae,__Flavitalea,__Flavitalea gansuensis,1,1,NR_108737.1,NA,NA,25,59,54,52,52,34,55,33,32,72,45,61,27,39,40,0,0,0,0,0,0,0,0,0
denovo69,Bacteria; __Firmicutes; __Bacilli; __Lactobacillales; __Enterococcaceae; __Enterococcus; __Enterococcus thailandicus,Bacteria,__Firmicutes,__Bacilli,__Lactobacillales,__Enterococcaceae,__Enterococcus,__Enterococcus thailandicus,1,1,NR_114015.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,428,498,120,0,0
denovo70,Bacteria; __Nitrospirae; __Nitrospira; __Nitrospirales; __Nitrospiraceae; __Thermodesulfovibrio; __Thermodesulfovibrio hydrogeniphilus,Bacteria,__Nitrospirae,__Nitrospira,__Nitrospirales,__Nitrospiraceae,__Thermodesulfovibrio,__Thermodesulfovibrio hydrogeniphilus,1,1,NR_044075.1,NA,NA,89,36,57,46,66,40,54,48,75,47,41,66,50,59,50,0,0,0,0,0,0,0,0,0
denovo71,Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Rikenellaceae; __Acetobacteroides; __Acetobacteroides hydrogenigenes,Bacteria,__Bacteroidetes,__Bacteroidia,__Bacteroidales,__Rikenellaceae,__Acetobacteroides,__Acetobacteroides hydrogenigenes,1,1,NR_133950.1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,273,123,0,0,0,0,0,0
denovo72,Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhizobiales; __Hyphomicrobiaceae; __Rhodoplanes; __Rhodoplanes tepidicaeni,Bacteria,__Proteobacteria,__Alphaproteobacteria,__Rhizobiales,__Hyphomicrobiaceae,__Rhodoplanes,__Rhodoplanes tepidicaeni,1,1,NR_159238.1,NA,NA,87,64,98,90,66,89,100,87,78,127,82,75,93,89,73,0,0,0,0,0,0,0,0,0
denovo73,Bacteria; __Chloroflexi; __Caldilineae; __Caldilineales; __Caldilineaceae; __Litorilinea; __Litorilinea aerophila,Bacteria,__Chloroflexi,__Caldilineae,__Caldilineales,__Caldilineaceae,__Litorilinea,__Litorilinea aerophila,1,1,NR_132330.1,NA,NA,22,36,34,43,33,39,41,35,47,25,24,25,24,28,18,0,0,0,0,0,0,48,0,0
